Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,126.500000,127.279999,126.089996,127.160004,124.381912,3430900
2019-04-09,126.760002,128.119995,126.599998,127.239998,124.460159,4215600
2019-04-10,127.559998,127.970001,126.930000,127.190002,124.411255,4227100
2019-04-11,126.860001,127.320000,124.510002,125.150002,122.415825,5520700
2019-04-12,125.239998,125.239998,123.019997,123.059998,120.371475,5470400
2019-04-15,123.769997,124.349998,123.160004,124.080002,121.369194,4549100
2019-04-16,124.930000,124.930000,119.790001,119.959999,117.339203,6573400
2019-04-17,120.000000,120.059998,115.889999,116.500000,113.954796,14842800
2019-04-18,116.230003,116.650002,114.139999,115.199997,112.683189,9805800
2019-04-22,115.040001,115.570000,113.650002,115.470001,112.947304,7519700
2019-04-23,116.040001,117.889999,115.430000,117.489998,114.923172,5891500
2019-04-24,118.290001,118.430000,117.230003,118.000000,115.422028,4254100
2019-04-25,117.750000,118.680000,116.750000,118.230003,115.647003,3425000
2019-04-26,118.830002,119.919998,118.669998,119.870003,117.251175,3372500
2019-04-29,119.900002,120.010002,119.250000,119.599998,116.987061,4097200
2019-04-30,116.610001,117.139999,114.910004,117.040001,114.483002,7548300
2019-05-01,117.050003,119.529999,116.559998,118.180000,115.598091,5392100
2019-05-02,118.440002,118.570000,116.860001,118.459999,115.871979,4168800
2019-05-03,118.440002,118.440002,116.540001,116.910004,114.355843,5695500
2019-05-06,115.820000,117.080002,115.300003,116.650002,114.101524,5952100
2019-05-07,116.300003,116.489998,114.459999,114.940002,112.428886,5127200
2019-05-08,115.849998,116.889999,115.230003,116.250000,113.710266,2992600
2019-05-09,115.860001,116.150002,114.779999,115.800003,113.270103,5818900
2019-05-10,115.629997,116.320000,114.220001,116.220001,113.680923,3660500
2019-05-13,114.860001,115.190002,113.870003,114.370003,111.871338,4284600
2019-05-14,114.730003,115.529999,114.529999,114.940002,112.428886,3668400
2019-05-15,115.250000,115.839996,114.320000,115.620003,113.094025,3724400
2019-05-16,114.570000,117.680000,114.570000,116.730003,114.820313,3914100
2019-05-17,115.699997,116.650002,115.220001,116.010002,114.112099,3109800
2019-05-20,115.870003,116.300003,115.000000,116.230003,114.328499,3042800
2019-05-21,117.040001,117.790001,116.529999,116.580002,114.672775,2611100
2019-05-22,116.120003,118.389999,116.120003,117.980003,116.049866,3934200
2019-05-23,117.760002,117.959999,116.480003,116.809998,114.899002,3653500
2019-05-24,117.529999,117.550003,116.449997,116.790001,114.879326,2086400
2019-05-28,117.089996,118.410004,115.699997,115.760002,113.866180,5007200
2019-05-29,115.610001,115.800003,114.430000,115.489998,113.600601,5915800
2019-05-30,115.489998,116.300003,114.959999,115.900002,114.003899,2392800
2019-05-31,115.339996,117.580002,114.989998,115.940002,114.043243,6098400
2019-06-03,116.529999,117.720001,116.040001,116.769997,114.859657,4722000
2019-06-04,118.080002,118.930000,117.410004,117.559998,115.636734,3122700
2019-06-05,118.029999,118.379997,116.529999,117.019997,115.105568,4175800
2019-06-06,117.519997,118.940002,117.269997,117.500000,115.577713,3882800
2019-06-07,118.190002,118.940002,117.889999,118.349998,116.413811,2726300
2019-06-10,116.000000,116.000000,113.879997,113.930000,112.066124,8172400
2019-06-11,114.779999,115.589996,111.849998,112.209999,110.374260,5681200
2019-06-12,112.500000,115.500000,112.500000,115.239998,113.354683,3793800
2019-06-13,115.400002,115.400002,110.610001,111.820000,109.990646,8477300
2019-06-14,112.129997,112.250000,111.010002,111.739998,109.911949,3188100
2019-06-17,111.639999,113.419998,111.339996,113.400002,111.544792,3032300
2019-06-18,113.650002,114.830002,113.220001,114.650002,112.774338,2868700
2019-06-19,115.019997,115.989998,114.339996,115.230003,113.344856,3320600
2019-06-20,116.349998,117.070000,115.260002,115.559998,113.669449,2840100
2019-06-21,115.739998,115.930000,114.809998,115.489998,113.600601,4024600
2019-06-24,115.080002,116.150002,114.709999,115.629997,113.738312,2570500
2019-06-25,115.510002,116.830002,115.169998,115.360001,113.472725,2110100
2019-06-26,114.809998,114.949997,110.620003,111.339996,109.518486,4677500
2019-06-27,111.739998,112.209999,111.160004,111.470001,109.646370,3615900
2019-06-28,111.800003,111.830002,110.019997,110.790001,108.977493,8958700
2019-07-01,111.309998,112.839996,110.639999,112.739998,110.895592,3236400
2019-07-02,112.820000,114.209999,112.400002,114.199997,112.331703,2343400
2019-07-03,114.870003,115.470001,113.779999,114.419998,112.548103,3707700
2019-07-05,114.050003,114.370003,112.550003,112.820000,110.974274,2444000
2019-07-08,112.470001,112.790001,110.910004,111.519997,109.695549,2998700
2019-07-09,111.849998,113.360001,111.849998,113.080002,111.230026,2717700
2019-07-10,113.269997,114.650002,112.669998,114.529999,112.656303,3339100
2019-07-11,111.529999,112.239998,109.099998,109.820000,108.023361,6589600
2019-07-12,109.470001,109.470001,105.150002,108.290001,106.518394,7211100
2019-07-15,108.300003,109.160004,107.589996,108.470001,106.695450,4405200
2019-07-16,109.000000,109.190002,107.970001,108.820000,107.039711,2206500
2019-07-17,109.349998,109.650002,107.080002,107.089996,105.338013,3507300
2019-07-18,107.830002,108.480003,107.239998,108.339996,106.567566,3232900
2019-07-19,108.500000,108.519997,106.580002,106.790001,105.042931,4820600
2019-07-22,106.919998,107.360001,105.870003,107.269997,105.515076,2894400
2019-07-23,107.500000,109.400002,106.059998,108.220001,106.449532,5098200
2019-07-24,108.349998,109.660004,107.160004,108.519997,106.744621,3762700
2019-07-25,108.570000,110.379997,107.680000,107.820000,106.056084,4596700
2019-07-26,107.919998,109.230003,107.540001,108.269997,106.498718,3470700
2019-07-29,108.070000,110.239998,108.070000,108.720001,106.941353,3192500
2019-07-30,108.300003,110.019997,107.000000,108.690002,106.911850,4664200
2019-07-31,108.059998,110.709999,107.610001,108.949997,107.167595,5535700
2019-08-01,109.019997,110.739998,108.309998,110.510002,108.702080,3679000
2019-08-02,110.959999,113.269997,110.190002,112.419998,110.580826,4477700
2019-08-05,111.379997,112.489998,107.440002,108.709999,106.931519,4765800
2019-08-06,109.470001,112.120003,109.040001,111.400002,109.577507,5490000
2019-08-07,110.370003,111.379997,108.529999,111.120003,109.302086,4231700
2019-08-08,111.959999,114.540001,111.639999,113.970001,112.105469,4815900
2019-08-09,113.239998,114.550003,112.349998,113.769997,111.908737,2788100
2019-08-12,112.900002,114.059998,112.290001,113.599998,111.741516,2212800
2019-08-13,113.529999,116.139999,113.430000,115.699997,113.807159,5247200
2019-08-14,114.860001,114.870003,110.220001,110.290001,109.093842,4937900
2019-08-15,110.419998,111.309998,109.209999,110.230003,109.034492,3939900
2019-08-16,110.940002,111.330002,109.290001,110.519997,109.321342,3497600
2019-08-19,111.050003,112.940002,110.790001,112.529999,111.309547,2903500
2019-08-20,112.330002,112.879997,110.910004,111.010002,109.806038,2074800
2019-08-21,112.000000,112.440002,110.000000,111.459999,110.251160,2207300
2019-08-22,111.440002,112.269997,110.790001,111.610001,110.399529,1840200
2019-08-23,111.459999,112.559998,108.879997,109.510002,108.322304,3870100
2019-08-26,110.610001,111.820000,110.250000,111.779999,110.567688,2565500
2019-08-27,112.309998,112.879997,110.730003,110.730003,109.529076,2945200
2019-08-28,110.330002,111.540001,109.790001,110.970001,109.766472,1744400
2019-08-29,111.809998,112.379997,110.599998,112.250000,111.032585,2708600
2019-08-30,112.820000,114.169998,111.919998,112.970001,111.744781,2870700
2019-09-03,112.540001,114.019997,112.190002,113.959999,112.724045,3710300
2019-09-04,114.379997,114.500000,112.449997,113.250000,112.021744,3756400
2019-09-05,113.959999,115.440002,113.260002,114.599998,113.357101,4045900
2019-09-06,114.779999,114.989998,113.839996,114.050003,112.813065,2904700
2019-09-09,114.519997,114.519997,110.349998,111.070000,109.865387,4982300
2019-09-10,108.370003,111.129997,106.400002,111.099998,109.895058,6589500
2019-09-11,111.779999,112.000000,110.290001,111.690002,110.478661,3404100
2019-09-12,111.919998,112.419998,111.120003,111.470001,110.261047,3578500
2019-09-13,111.739998,112.150002,110.239998,110.889999,109.687340,2842600
2019-09-16,110.419998,110.529999,109.209999,110.129997,108.935570,1728900
2019-09-17,110.330002,111.190002,109.629997,111.120003,109.914841,2438100
2019-09-18,111.440002,112.910004,111.169998,112.720001,111.497490,3132500
2019-09-19,112.860001,115.110001,112.389999,114.349998,113.109810,3929800
2019-09-20,115.930000,117.230003,114.470001,116.160004,114.900185,7517700
2019-09-23,116.000000,116.540001,113.970001,114.180000,112.941658,2611300
2019-09-24,114.360001,114.550003,111.940002,113.250000,112.021744,3480200
2019-09-25,112.879997,113.849998,111.309998,111.389999,110.181915,3093400
2019-09-26,112.040001,112.660004,110.690002,111.820000,110.607254,2266400
2019-09-27,112.349998,113.370003,111.379997,112.370003,111.151283,1906300
2019-09-30,112.400002,113.449997,111.690002,111.830002,110.617142,2516600
2019-10-01,111.940002,112.449997,110.410004,110.959999,109.756577,2203400
2019-10-02,110.330002,110.639999,106.660004,107.000000,105.839523,4483900
2019-10-03,107.089996,108.099998,106.209999,107.290001,106.126381,2735000
2019-10-04,107.489998,108.260002,107.000000,108.199997,107.026505,2865300
2019-10-07,108.309998,108.650002,107.570000,107.830002,106.660522,1460800
2019-10-08,106.889999,108.330002,105.949997,107.190002,106.027466,2802500
2019-10-09,107.559998,108.150002,106.879997,107.300003,106.136276,1636600
2019-10-10,107.029999,107.489998,106.580002,106.919998,105.760391,2736900
2019-10-11,107.750000,109.139999,107.589996,108.360001,107.184776,2554900
2019-10-14,108.519997,109.129997,107.879997,107.900002,106.729767,1341300
2019-10-15,108.349998,110.099998,108.220001,109.699997,108.510239,1760000
2019-10-16,109.180000,109.480003,107.790001,107.949997,106.779213,2314600
2019-10-17,109.220001,109.459999,108.260002,108.459999,107.283691,2018900
2019-10-18,108.309998,108.940002,107.900002,108.639999,107.461739,2207100
2019-10-21,108.870003,109.000000,107.769997,107.910004,106.739655,3944900
2019-10-22,109.980003,111.459999,108.889999,109.839996,108.648720,5708500
2019-10-23,106.000000,107.750000,101.360001,107.400002,106.235191,9047500
2019-10-24,107.500000,108.209999,106.250000,107.839996,106.670410,3304500
2019-10-25,108.080002,110.589996,107.540001,110.199997,109.004814,4234600
2019-10-28,110.620003,113.190002,110.620003,112.989998,111.764557,4168500
2019-10-29,112.500000,112.809998,111.500000,111.669998,110.458878,2987700
2019-10-30,111.370003,113.209999,111.260002,112.720001,111.497490,2424600
2019-10-31,112.360001,114.669998,112.000000,113.949997,112.714142,4124300
2019-11-01,114.070000,114.510002,112.309998,112.510002,111.289764,2629100
2019-11-04,113.239998,114.330002,112.870003,113.110001,111.883263,3002100
2019-11-05,112.949997,113.080002,110.510002,111.250000,110.043434,3357300
2019-11-06,111.570000,114.290001,111.510002,113.820000,112.585564,3973700
2019-11-07,114.230003,114.629997,112.029999,112.769997,111.546944,3076200
2019-11-08,112.650002,113.570000,112.099998,113.529999,112.298706,2224100
2019-11-11,113.459999,114.209999,112.220001,112.800003,111.576622,1770200
2019-11-12,112.769997,114.040001,112.449997,113.169998,111.942612,2273200
2019-11-13,112.870003,113.529999,112.250000,112.790001,111.566734,3250600
2019-11-14,112.190002,112.360001,111.000000,111.389999,110.815620,2627100
2019-11-15,111.330002,113.820000,111.330002,113.190002,112.606346,4857400
2019-11-18,113.019997,114.129997,112.860001,114.070000,113.481804,3361600
2019-11-19,114.029999,116.120003,113.750000,115.099998,114.506493,3781600
2019-11-20,114.959999,115.919998,114.050003,114.610001,114.019020,3638200
2019-11-21,114.699997,115.519997,113.290001,114.750000,114.158295,2909500
2019-11-22,115.089996,116.680000,114.709999,116.199997,115.600815,3120100
